NACE2,EXIOBASE name,EXIOBASE code
46.42,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.43,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.44,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.45,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.46,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.47,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.48,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.49,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.51,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.52,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.61,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.62,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.63,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.64,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.65,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.66,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.69,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.71,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.72,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.73,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.74,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.75,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.76,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.77,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.9,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
47.11,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.19,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.21,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.22,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.23,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.24,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.25,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.26,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.29,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
47.3,Retail trade services of motor fuel,p50.b
47.41,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
